NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,BOOSTER_AMT,POPULATION_NBR
43010,M,12-17,0,0,Maldegem,OOST-VLAANDEREN,VLAAMS GEWEST,West-Meetjesland,733,6,0,0,724,6,1,0,8,0,0,6,788
72020,V,40-49,1,0,Lommel,LIMBURG,VLAAMS GEWEST,Noord-Limburg,1962,11,342,1,1290,10,24,0,306,0,0,363,2145
11018,V,40-49,1,0,Hemiksem,ANTWERPEN,VLAAMS GEWEST,RupeLaar,741,4,133,1,550,3,9,0,49,0,0,168,821
46024,M,30-39,1,0,Stekene,OOST-VLAANDEREN,VLAAMS GEWEST,N-O-Waasland,1029,14,21,0,992,14,3,0,13,0,0,43,1135
42023,V,50-59,1,0,Waasmunster,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,823,2,241,1,555,1,17,0,10,0,0,184,869
11030,V,50-59,1,0,Niel,ANTWERPEN,VLAAMS GEWEST,RupeLaar,636,2,143,1,423,1,15,0,55,0,0,194,661
45063,M,18-29,1,0,Sint-Maria-Lierde,OOST-VLAANDEREN,VLAAMS GEWEST,Panacea,372,1,10,0,343,1,3,0,16,0,0,35,401
11039,M,50-59,1,0,Schilde,ANTWERPEN,VLAAMS GEWEST,Voorkempen,1453,4,369,1,906,3,18,0,160,0,0,287,1509
11013,M,30-39,1,0,Edegem,ANTWERPEN,VLAAMS GEWEST,ZORA,1304,10,48,0,1214,9,25,1,17,0,0,93,1416
23088,V,18-29,1,0,Vilvoorde,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,2489,104,134,3,2178,98,40,3,137,0,0,202,3445
33039,M,90-100+,1,1,Nieuwkerke,WEST-VLAANDEREN,VLAAMS GEWEST,Westhoek,22,2,15,2,5,0,1,0,1,0,0,18,25
73032,V,40-49,1,0,Hoeselt,LIMBURG,VLAAMS GEWEST,ZOLim,650,2,142,0,444,2,4,0,60,0,0,215,677
12021,M,60-69,1,1,Lier,ANTWERPEN,VLAAMS GEWEST,Pallieterland,963,2,339,2,613,0,4,0,7,0,0,793,988
41018,V,30-39,1,0,Geraardsbergen,OOST-VLAANDEREN,VLAAMS GEWEST,Dender Zuid,1846,26,143,0,1651,26,34,0,18,0,0,309,2013
24062,M,18-29,1,0,Leuven,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven,10491,178,327,6,4628,101,4074,70,1379,83,1,1401,11424
72037,M,60-69,1,1,Hamont,LIMBURG,VLAAMS GEWEST,Noord-Limburg,442,2,124,1,305,1,5,0,8,0,0,120,460
13016,V,30-39,1,0,Hulshout,ANTWERPEN,VLAAMS GEWEST,Zuiderkempen,599,7,51,0,521,7,20,0,7,0,0,110,643
72042,M,60-69,1,1,Opglabbeek,LIMBURG,VLAAMS GEWEST,Kemp en Duin,696,3,34,0,655,3,3,0,2,2,0,449,725
12007,V,18-29,1,0,Bornem,ANTWERPEN,VLAAMS GEWEST,Klein-Brabant Vaartland,1269,14,101,0,1061,14,33,0,74,0,0,294,1385
45041,V,50-59,1,0,Ronse,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,1491,15,159,1,1254,14,23,0,54,1,0,347,1613
11023,V,50-59,1,0,Kapellen,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,1959,7,513,0,1030,7,46,0,370,0,0,634,2069
11053,M,18-29,1,0,Wuustwezel,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,1348,12,28,0,1162,12,8,0,150,0,0,91,1555
46014,M,80-89,1,1,Lokeren,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,701,8,117,4,563,4,6,0,15,0,0,645,731
73042,V,90-100+,1,1,Lanaken,LIMBURG,VLAAMS GEWEST,Maasland,143,3,50,0,92,3,0,0,1,0,0,129,158
36010,M,40-49,1,0,Ledegem,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,569,2,64,0,450,2,2,0,53,0,0,36,611
34042,V,60-69,1,0,Zwevegem,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Waregem,820,5,383,2,424,2,1,1,12,0,0,355,859
71016,M,70-79,1,1,Genk,LIMBURG,VLAAMS GEWEST,Kemp en Duin,2365,18,1046,10,1277,8,18,0,19,5,0,2091,2491
36015,M,80-89,1,1,Roeselare,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,1304,15,419,8,876,7,0,0,9,0,0,1208,1364
38008,V,90-100+,1,1,De Panne,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,103,2,10,0,91,2,0,0,2,0,0,86,119
23099,V,80-89,1,1,Kraainem,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,300,4,68,1,227,2,0,1,5,0,0,251,330
42004,V,40-49,1,0,Buggenhout,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,941,1,151,0,680,1,10,0,100,0,0,200,965
42025,M,70-79,1,1,Wetteren,OOST-VLAANDEREN,VLAAMS GEWEST,Scheldekracht,993,1,360,0,621,1,3,0,9,0,0,922,1024
45059,V,60-69,1,1,Brakel,OOST-VLAANDEREN,VLAAMS GEWEST,Panacea,424,1,33,0,386,1,4,0,1,0,0,375,439
11016,M,30-39,1,0,Essen,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,1015,11,24,0,975,11,6,0,10,0,0,46,1151
42010,M,90-100+,1,1,Laarne,OOST-VLAANDEREN,VLAAMS GEWEST,Scheldekracht,30,1,17,0,10,0,0,1,3,0,0,24,39
12021,V,40-49,1,0,Lier,ANTWERPEN,VLAAMS GEWEST,Pallieterland,2079,9,420,1,1431,8,42,0,185,1,0,528,2268
11057,V,30-39,1,0,Malle,ANTWERPEN,VLAAMS GEWEST,Voorkempen,891,3,80,0,760,3,15,0,36,0,0,211,947
72003,V,18-29,1,0,Bocholt,LIMBURG,VLAAMS GEWEST,Noord-Limburg,798,13,84,0,691,13,17,0,6,0,0,158,880
71057,V,30-39,1,0,Tessenderlo,LIMBURG,VLAAMS GEWEST,West-Limburg,1047,9,89,0,905,9,15,0,38,0,0,176,1128
12026,M,80-89,1,1,Nijlen,ANTWERPEN,VLAAMS GEWEST,Pallieterland,451,6,46,0,396,6,3,0,6,0,0,420,480
37011,M,40-49,1,0,Pittem,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,420,1,82,0,271,1,2,0,65,0,0,83,446
35005,M,12-17,0,0,Gistel,WEST-VLAANDEREN,VLAAMS GEWEST,Houtland en Polder,419,5,0,0,407,5,1,0,11,0,0,6,465
46013,V,60-69,1,1,Kruibeke,OOST-VLAANDEREN,VLAAMS GEWEST,N-O-Waasland,455,3,53,0,400,3,2,0,0,0,0,217,466
12025,M,80-89,1,1,Mechelen,ANTWERPEN,VLAAMS GEWEST,Mechelen-Katelijne,1368,12,139,0,1186,12,4,0,39,0,0,1253,1445
31005,V,60-69,1,1,Brugge,WEST-VLAANDEREN,VLAAMS GEWEST,Brugge,3747,14,823,6,2852,8,37,0,35,0,0,1994,3905
31005,M,40-49,1,0,Brugge,WEST-VLAANDEREN,VLAAMS GEWEST,Brugge,6662,50,1701,6,4152,44,71,0,736,2,0,1300,7242
12021,V,50-59,1,0,Lier,ANTWERPEN,VLAAMS GEWEST,Pallieterland,2589,7,875,2,1446,5,88,0,180,0,0,1035,2772
13001,M,60-69,1,0,Arendonk,ANTWERPEN,VLAAMS GEWEST,Kempenland,421,1,48,0,306,0,2,1,65,0,0,146,442
11024,M,70-79,1,1,Kontich,ANTWERPEN,VLAAMS GEWEST,ZORA,863,3,307,1,548,2,2,0,5,1,0,775,888
24028,V,70-79,1,1,Geetbets,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,259,1,39,0,214,1,2,0,4,0,0,236,268
31043,V,60-69,1,0,Westkapelle,WEST-VLAANDEREN,VLAAMS GEWEST,Oostkust,1432,11,752,5,634,6,21,0,25,0,0,1009,1509
72030,M,60-69,1,1,Peer,LIMBURG,VLAAMS GEWEST,Noord-Limburg,522,3,160,2,359,1,1,0,2,0,0,119,541
24109,M,30-39,1,0,Tremelo,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Noord,743,4,16,0,680,4,10,0,36,1,0,80,777
72018,V,30-39,1,0,Kinrooi,LIMBURG,VLAAMS GEWEST,Maasland,576,2,85,0,479,2,7,0,5,0,0,112,676
44052,V,60-69,1,0,Oosterzele,OOST-VLAANDEREN,VLAAMS GEWEST,Panacea,454,1,100,0,340,1,10,0,4,0,0,228,468
24055,V,40-49,1,0,Kortenberg,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Zuid,1360,8,238,0,889,8,23,0,209,1,0,262,1465
43007,V,18-29,1,0,Kaprijke,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,400,2,41,0,334,2,8,0,17,0,0,84,411
12021,M,30-39,1,0,Lier,ANTWERPEN,VLAAMS GEWEST,Pallieterland,2118,26,74,0,1977,26,16,0,51,0,0,139,2393
34025,M,40-49,1,0,Lendelede,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,347,5,40,0,279,5,0,0,28,0,0,21,370
23027,M,90-100+,1,1,Halle,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,91,3,42,0,41,3,0,0,8,0,0,75,102
31012,V,80-89,1,1,Jabbeke,WEST-VLAANDEREN,VLAAMS GEWEST,WE40,437,3,73,0,358,3,1,0,5,0,0,406,450
