NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,PARTLY_VACCINATED_JJ_AMT
45063,V,60-69,1,0,234,Lierde,Oost-Vlaanderen,Vlaams Gewest,Panacea,19,15,0,10,14,4,5,1,0,0
11002,M,90-100+,1,1,1546,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,491,1076,0,660,490,229,1,187,0,0
11009,M,10-19,0,0,1244,Brecht,Antwerpen,Vlaams Gewest,Voorkempen,2,0,0,0,2,0,0,0,0,0
11055,V,60-69,1,1,724,Zoersel,Antwerpen,Vlaams Gewest,Voorkempen,56,31,0,14,55,13,1,4,0,0
11030,V,80-89,1,1,275,Niel,Antwerpen,Vlaams Gewest,RupeLaar,67,173,0,40,67,133,0,0,0,0
11023,M,40-49,1,0,1598,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen,37,42,0,34,30,8,7,0,0,0
23009,V,70-79,1,1,86,Bever,Vlaams-Brabant,Vlaams Gewest,Pajottenland,1,21,0,0,1,21,0,0,0,0
12026,V,90-100+,1,1,123,Nijlen,Antwerpen,Vlaams Gewest,Pallieterland,43,77,0,49,43,28,0,0,0,0
13023,V,40-49,1,0,551,Merksplas,Antwerpen,Vlaams Gewest,Kempenland,67,67,0,51,66,16,1,0,0,0
11029,M,10-19,0,0,1230,Mortsel,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,0,0,0,0,0,0,0,0,0,0
11056,M,20-29,1,0,982,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland,17,27,0,21,16,4,1,2,0,0
12035,V,10-19,0,0,944,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest,Mechelen - Katelijne,0,0,0,0,0,0,0,0,0,0
23104,V,20-29,1,0,493,Lennik,Vlaams-Brabant,Vlaams Gewest,Pajottenland,52,48,0,35,48,11,4,2,0,0
13021,V,40-49,1,0,643,Meerhout,Antwerpen,Vlaams Gewest,Zuiderkempen,59,66,0,55,45,11,14,0,0,0
24054,V,30-39,1,0,490,Kortenaken,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,61,72,0,55,59,17,2,0,0,0
33016,M,80-89,1,1,21,Mesen,West-Vlaanderen,Vlaams Gewest,Westhoek,1,10,0,6,1,4,0,0,0,0
42004,V,80-89,1,1,442,Buggenhout,Oost-Vlaanderen,Vlaams Gewest,Dender,70,187,0,83,70,101,0,3,0,0
23024,M,40-49,1,0,566,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland,11,27,0,21,10,6,1,0,0,0
11052,V,10-19,0,0,550,Wommelgem,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,0,0,0,0,0,0,0,0,0,0
24038,M,80-89,1,1,458,Herent,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,43,395,0,76,43,318,0,1,0,0
13008,V,70-79,1,1,1795,Geel,Antwerpen,Vlaams Gewest,Zuiderkempen,79,401,0,79,79,299,0,23,0,0
13031,V,20-29,1,0,659,Oud-Turnhout,Antwerpen,Vlaams Gewest,Kempenland,59,62,0,55,53,6,6,1,0,0
11024,M,10-19,1,0,243,Kontich,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,0,1,0,1,0,0,0,0,0,0
11056,V,70-79,1,1,865,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland,59,283,0,13,58,269,1,1,0,0
