NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT
43005,V,60-69,1,0,707,Eeklo,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,658,11,94,5,538,6,19,0,7,0,0
24104,M,40-49,1,0,1580,Tervuren,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,1335,38,144,10,964,28,14,0,212,1,0
34013,V,60-69,1,0,950,Harelbeke,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,894,9,323,4,310,3,193,2,68,0,0
13010,M,70-79,1,1,588,Grobbendonk,Antwerpen,Vlaams Gewest,Middenkempen,560,5,169,2,388,3,2,0,1,0,0
41011,V,12-17,0,0,789,Denderleeuw,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,99,402,2,0,89,402,0,0,8,0,0
11002,M,90-100+,1,1,1596,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,1366,31,451,14,582,15,218,2,115,0,0
46021,M,40-49,1,0,5037,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland,4137,306,186,169,3428,136,72,1,451,0,0
38025,M,80-89,1,1,318,Veurne,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,296,6,47,1,246,5,1,0,2,0,0
12040,V,90-100+,1,1,184,Willebroek,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,172,4,71,3,93,1,1,0,7,0,0
13017,M,50-59,1,0,1590,Kasterlee,Antwerpen,Vlaams Gewest,Middenkempen,1482,47,436,39,896,8,16,0,134,0,0
44019,M,30-39,1,0,2170,Evergem,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,1891,75,47,1,1806,73,30,1,8,0,0
11024,V,12-17,0,0,680,Kontich,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,133,351,0,0,125,351,0,0,8,0,0
11035,M,60-69,1,1,633,Ranst,Antwerpen,Vlaams Gewest,Pallieterland,604,3,217,1,385,2,0,0,2,0,0
11013,V,80-89,1,1,867,Edegem,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,813,13,138,2,660,11,3,0,12,0,0
24020,V,60-69,1,0,940,Diest,Vlaams-Brabant,Vlaams Gewest,Demerland,895,4,86,0,785,4,18,0,6,0,0
13053,M,60-69,1,0,596,Laakdal,Antwerpen,Vlaams Gewest,Zuiderkempen,573,3,186,2,369,1,0,0,18,0,0
45041,V,40-49,1,0,1681,Ronse,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,1314,91,231,35,733,56,33,0,317,0,0
71022,M,90-100+,1,1,328,Hasselt,Limburg,Vlaams Gewest,Herkenrode,298,9,172,6,102,3,1,0,23,0,0
31012,M,40-49,1,0,841,Jabbeke,West-Vlaanderen,Vlaams Gewest,WE40,705,89,78,81,460,8,6,0,161,0,0
42026,M,60-69,1,1,361,Wichelen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,348,2,46,0,299,2,2,0,1,0,0
34009,V,60-69,1,1,312,Deerlijk,West-Vlaanderen,Vlaams Gewest,Regio Waregem,302,3,104,0,197,3,1,0,0,0,0
38016,V,50-59,1,0,910,Nieuwpoort,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,825,14,196,7,589,7,10,0,30,0,0
44019,M,12-17,0,0,1220,Evergem,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,96,838,0,0,72,837,6,1,18,0,0
42026,M,50-59,1,0,879,Wichelen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,764,78,234,77,419,1,8,0,103,0,0
35002,V,80-89,1,1,521,Bredene,West-Vlaanderen,Vlaams Gewest,Oostende-Bredene,492,7,56,1,426,6,1,0,9,0,0
71069,V,80-89,1,1,304,Ham,Limburg,Vlaams Gewest,West-Limburg,293,3,77,2,211,1,0,0,5,0,0
72018,M,40-49,1,0,703,Kinrooi,Limburg,Vlaams Gewest,Maasland,587,11,47,6,334,5,3,0,203,0,0
24033,V,18-29,1,0,911,Haacht,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,664,189,74,1,484,188,11,0,95,0,0
41063,M,60-69,1,0,343,Sint-Lievens-Houtem,Oost-Vlaanderen,Vlaams Gewest,Panacea,329,3,25,0,289,2,5,1,10,0,0
24033,V,60-69,1,1,490,Haacht,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,486,2,59,1,424,1,2,0,1,0,0
11005,V,30-39,1,0,1277,Boom,Antwerpen,Vlaams Gewest,RupeLaar,973,65,64,3,883,62,19,0,7,0,0
72043,M,60-69,1,1,1096,Pelt,Limburg,Vlaams Gewest,Noord-Limburg,1067,3,204,0,848,2,6,1,9,0,0
24055,V,60-69,1,1,527,Kortenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,493,4,50,3,435,1,5,0,3,0,0
34027,M,70-79,1,1,1352,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen,1260,20,389,8,858,11,7,1,6,0,0
37012,M,30-39,1,0,335,Ruiselede,West-Vlaanderen,Vlaams Gewest,RITS,277,13,7,0,265,13,0,0,5,0,0
24048,M,60-69,1,0,525,Keerbergen,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,505,1,70,1,421,0,11,0,3,0,0
23038,V,18-29,1,0,782,Kampenhout,Vlaams-Brabant,Vlaams Gewest,BraViO,535,160,61,3,395,156,12,1,67,0,0
13044,V,80-89,1,1,248,Vorselaar,Antwerpen,Vlaams Gewest,Middenkempen,243,2,72,0,167,2,2,0,2,0,0
36015,V,60-69,1,1,1724,Roeselare,West-Vlaanderen,Vlaams Gewest,Midden WVL,1641,15,330,2,1302,13,1,0,8,0,0
45061,V,60-69,1,0,212,Wortegem-Petegem,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,207,1,19,0,183,1,5,0,0,0,0
23086,M,60-69,1,1,429,Ternat,Vlaams-Brabant,Vlaams Gewest,Pajottenland,407,2,57,1,348,0,2,1,0,0,0
24009,M,12-17,0,0,404,Bertem,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,35,257,1,0,30,257,0,0,4,0,0
11052,M,90-100+,1,1,45,Wommelgem,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,36,0,9,0,19,0,5,0,3,0,0
42026,M,70-79,1,1,490,Wichelen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,476,3,185,0,284,3,2,0,5,0,0
12041,V,0-11,0,0,1575,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,1,47,0,0,1,47,0,0,0,0,0
73022,V,12-17,0,0,226,Heers,Limburg,Vlaams Gewest,Haspengouw,41,149,0,0,38,149,1,0,2,0,0
