NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
42028,M,80-89,1,1,419,187,39,Zele,Oost-Vlaanderen,Vlaams Gewest,Dender
37012,V,10-19,0,0,227,0,3,Ruiselede,West-Vlaanderen,Vlaams Gewest,RITS
45060,M,10-19,0,0,331,0,0,Kluisbergen,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
71067,V,60-69,1,0,307,10,36,Zutendaal,Limburg,Vlaams Gewest,Kemp en Duin
45060,V,20-29,1,0,376,62,37,Kluisbergen,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
42025,V,10-19,1,0,264,4,7,Wetteren,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
44073,M,50-59,1,0,583,21,18,Wachtebeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
23032,V,60-69,1,1,197,8,9,Herne,Vlaams-Brabant,Vlaams Gewest,Pajottenland
23003,V,70-79,1,1,1061,276,44,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei
24055,M,40-49,1,0,1417,55,31,Kortenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
11009,V,60-69,1,1,833,18,31,Brecht,Antwerpen,Vlaams Gewest,Voorkempen
11021,M,50-59,1,0,581,21,33,Hove,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
11022,M,70-79,1,1,878,60,31,Kalmthout,Antwerpen,Vlaams Gewest,Noorderkempen
11024,V,50-59,1,0,1671,133,203,Kontich,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
12009,V,0-9,0,0,858,0,0,Duffel,Antwerpen,Vlaams Gewest,Pallieterland
13012,V,90-100+,1,1,48,22,42,Herenthout,Antwerpen,Vlaams Gewest,Middenkempen
11053,V,40-49,1,0,1317,97,134,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen
11056,M,80-89,1,1,368,210,21,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland
23009,M,30-39,1,0,113,4,2,Bever,Vlaams-Brabant,Vlaams Gewest,Pajottenland
23081,V,70-79,1,1,540,18,35,Steenokkerzeel,Vlaams-Brabant,Vlaams Gewest,BraViO
11035,V,0-9,0,0,914,0,0,Ranst,Antwerpen,Vlaams Gewest,Pallieterland
11050,M,70-79,1,1,386,27,19,Wijnegem,Antwerpen,Vlaams Gewest,Voorkempen
11016,V,10-19,1,0,189,0,3,Essen,Antwerpen,Vlaams Gewest,Noorderkempen
11025,M,50-59,1,0,678,31,19,Lint,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
12002,M,90-100+,1,1,35,31,23,Berlaar,Antwerpen,Vlaams Gewest,Pallieterland
23102,V,50-59,1,0,1115,91,95,Wemmel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
23009,V,10-19,1,0,27,0,0,Bever,Vlaams-Brabant,Vlaams Gewest,Pajottenland
24109,V,20-29,1,0,732,79,80,Tremelo,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
31043,V,10-19,1,0,262,2,2,Knokke-Heist,West-Vlaanderen,Vlaams Gewest,Oostkust
24041,M,70-79,1,1,230,14,7,Hoegaarden,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
13023,M,60-69,1,1,302,6,12,Merksplas,Antwerpen,Vlaams Gewest,Kempenland
12014,M,10-19,1,0,409,3,5,Heist-op-den-Berg,Antwerpen,Vlaams Gewest,Bonstato
23002,V,60-69,1,0,974,48,103,Asse,Vlaams-Brabant,Vlaams Gewest,AMALO
13008,V,40-49,1,0,2692,251,249,Geel,Antwerpen,Vlaams Gewest,Zuiderkempen
73001,V,80-89,1,1,353,249,46,Alken,Limburg,Vlaams Gewest,Herkenrode
12005,M,0-9,0,0,737,0,0,Bonheiden,Antwerpen,Vlaams Gewest,Bonstato
41027,V,50-59,1,0,1373,126,167,Herzele,Oost-Vlaanderen,Vlaams Gewest,Panacea
12035,M,10-19,1,0,231,2,3,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest,Mechelen - Katelijne
24007,M,60-69,1,1,347,18,9,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland
34027,M,90-100+,1,1,112,86,39,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen
13036,V,20-29,1,0,659,71,65,Retie,Antwerpen,Vlaams Gewest,Baldemore
13016,M,10-19,1,0,111,2,1,Hulshout,Antwerpen,Vlaams Gewest,Zuiderkempen
23088,V,90-100+,1,1,256,131,128,Vilvoorde,Vlaams-Brabant,Vlaams Gewest,BraViO
24043,M,80-89,1,1,192,132,25,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
23100,M,70-79,1,1,163,47,10,Linkebeek,Vlaams-Brabant,Vlaams Gewest,Zennevallei
32003,M,60-69,1,1,471,28,12,Diksmuide,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
34013,V,50-59,1,0,2019,132,230,Harelbeke,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk
45062,V,30-39,1,0,97,17,5,Horebeke,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
72030,V,40-49,1,0,1043,137,107,Peer,Limburg,Vlaams Gewest,Noord-Limburg
72042,V,20-29,1,0,1294,143,130,Oudsbergen,Limburg,Vlaams Gewest,Kemp en Duin
24020,M,40-49,1,0,1565,53,42,Diest,Vlaams-Brabant,Vlaams Gewest,Demerland
24041,V,20-29,1,0,367,38,41,Hoegaarden,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
35005,M,10-19,1,0,142,1,2,Gistel,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
38016,V,60-69,1,1,580,23,16,Nieuwpoort,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
41034,M,60-69,1,0,644,10,26,Lede,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
43002,M,30-39,1,0,809,16,19,Assenede,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
33041,V,10-19,1,0,28,1,5,Vleteren,West-Vlaanderen,Vlaams Gewest,Westhoek
72021,V,10-19,0,0,1004,0,0,Maaseik,Limburg,Vlaams Gewest,Maasland
73006,V,80-89,1,1,965,527,177,Bilzen,Limburg,Vlaams Gewest,Zuid-Oost Limburg
12025,M,50-59,1,0,5441,159,147,Mechelen,Antwerpen,Vlaams Gewest,Mechelen - Katelijne
13035,M,40-49,1,0,908,26,8,Ravels,Antwerpen,Vlaams Gewest,Kempenland
23038,M,60-69,1,1,330,6,8,Kampenhout,Vlaams-Brabant,Vlaams Gewest,BraViO
23102,V,10-19,0,0,740,0,0,Wemmel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
43002,M,20-29,1,0,827,23,17,Assenede,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
71024,V,40-49,1,0,873,100,89,Herk-de-Stad,Limburg,Vlaams Gewest,Herkenrode
72018,M,0-9,0,0,554,0,0,Kinrooi,Limburg,Vlaams Gewest,Maasland
33040,M,90-100+,1,1,33,36,10,Langemark-Poelkapelle,West-Vlaanderen,Vlaams Gewest,Westhoek
31004,M,40-49,1,0,1115,54,21,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust
43018,V,30-39,1,0,778,71,95,Zelzate,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
43018,M,60-69,1,0,426,22,15,Zelzate,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
12002,V,80-89,1,1,384,161,100,Berlaar,Antwerpen,Vlaams Gewest,Pallieterland
23050,V,90-100+,1,1,143,96,93,Meise,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
23103,M,20-29,1,0,777,12,15,Wezembeek-Oppem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
36008,V,80-89,1,1,1001,653,146,Izegem,West-Vlaanderen,Vlaams Gewest,RITS
45041,V,50-59,1,0,1619,132,151,Ronse,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
46014,M,60-69,1,0,1299,44,81,Lokeren,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
24043,M,0-9,0,0,553,0,0,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
31004,V,50-59,1,0,1535,121,126,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust
43007,M,80-89,1,1,150,115,17,Kaprijke,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
46021,M,10-19,0,0,3777,0,1,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
13013,M,50-59,1,0,1161,27,42,Herselt,Antwerpen,Vlaams Gewest,Zuiderkempen
23081,M,70-79,1,1,508,6,17,Steenokkerzeel,Vlaams-Brabant,Vlaams Gewest,BraViO
23102,V,20-29,1,0,935,48,33,Wemmel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
35014,M,0-9,0,0,494,0,0,Oudenburg,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
41002,V,10-19,0,0,3781,0,3,Aalst,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
43005,V,10-19,0,0,908,0,1,Eeklo,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
38008,M,30-39,1,0,485,12,8,De Panne,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
71020,M,60-69,1,1,246,21,9,Halen,Limburg,Vlaams Gewest,MidWestLim
71022,V,60-69,1,0,2847,153,268,Hasselt,Limburg,Vlaams Gewest,Herkenrode
71024,M,10-19,0,0,536,0,1,Herk-de-Stad,Limburg,Vlaams Gewest,Herkenrode
71070,V,70-79,1,1,1340,183,62,Heusden-Zolder,Limburg,Vlaams Gewest,MidWestLim
71004,M,50-59,1,0,3303,48,81,Beringen,Limburg,Vlaams Gewest,West-Limburg
24133,M,60-69,1,1,197,9,8,Linter,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
73107,M,30-39,1,0,2605,62,29,Maasmechelen,Limburg,Vlaams Gewest,Maasland
23099,V,70-79,1,1,547,68,22,Kraainem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
33029,V,0-9,0,0,1003,0,0,Wervik,West-Vlaanderen,Vlaams Gewest,Regio Menen
42023,V,50-59,1,0,866,62,90,Waasmunster,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
72004,M,60-69,1,0,559,11,13,Bree,Limburg,Vlaams Gewest,Kemp en Duin
34027,V,10-19,0,0,1491,0,5,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen
43007,M,70-79,1,1,324,19,13,Kaprijke,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
23024,V,30-39,1,0,530,43,53,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland
36008,V,0-9,0,0,1451,0,0,Izegem,West-Vlaanderen,Vlaams Gewest,RITS
73042,V,70-79,1,1,1279,76,62,Lanaken,Limburg,Vlaams Gewest,Maasland
23101,M,70-79,1,1,738,188,50,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest,Zennevallei
13046,M,30-39,1,0,717,26,22,Vosselaar,Antwerpen,Vlaams Gewest,Kempenland
32011,V,30-39,1,0,750,112,114,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
35011,V,30-39,1,0,790,84,80,Middelkerke,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
36010,M,90-100+,1,1,30,25,21,Ledegem,West-Vlaanderen,Vlaams Gewest,Midden WVL
43014,V,0-9,0,0,295,0,0,Sint-Laureins,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
44013,V,10-19,1,0,178,2,0,Destelbergen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
24059,V,90-100+,1,1,128,72,57,Landen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
71022,V,10-19,1,0,738,7,14,Hasselt,Limburg,Vlaams Gewest,Herkenrode
73022,M,90-100+,1,1,8,19,2,Heers,Limburg,Vlaams Gewest,Haspengouw
73109,V,0-9,0,0,205,0,0,Voeren,Limburg,Vlaams Gewest,Zuid-Oost Limburg
23039,M,10-19,1,0,100,0,1,Kapelle-op-den-Bos,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
38002,M,10-19,1,0,63,0,1,Alveringem,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
44052,M,20-29,1,0,747,31,18,Oosterzele,Oost-Vlaanderen,Vlaams Gewest,Panacea
73042,M,10-19,0,0,995,0,0,Lanaken,Limburg,Vlaams Gewest,Maasland
73107,M,10-19,1,0,432,1,1,Maasmechelen,Limburg,Vlaams Gewest,Maasland
44073,V,10-19,1,0,81,3,2,Wachtebeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
44083,M,70-79,1,1,1764,129,77,Deinze,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie
42028,V,10-19,1,0,250,0,14,Zele,Oost-Vlaanderen,Vlaams Gewest,Dender
44019,V,90-100+,1,1,273,132,187,Evergem,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
71020,M,10-19,1,0,101,0,1,Halen,Limburg,Vlaams Gewest,MidWestLim
23099,M,90-100+,1,1,49,36,12,Kraainem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
33037,V,10-19,1,0,130,2,7,Zonnebeke,West-Vlaanderen,Vlaams Gewest,Westhoek
45068,V,60-69,1,0,487,16,68,Kruisem,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
71017,V,60-69,1,0,263,14,28,Gingelom,Limburg,Vlaams Gewest,Haspengouw
71053,M,80-89,1,1,858,526,110,Sint-Truiden,Limburg,Vlaams Gewest,Haspengouw
11005,M,10-19,1,0,225,3,2,Boom,Antwerpen,Vlaams Gewest,RupeLaar
